,period_begin,period_end,region_type,region_type_id,region_name,region_id,duration,adjusted_average_homes_sold,active_listings
199,2017-05-01,2017-05-07,metro,-2,"San Francisco, CA metro area",41884,1 weeks,233.0,1778
281,2017-05-08,2017-05-14,metro,-2,"San Francisco, CA metro area",41884,1 weeks,239.0,1796
534,2017-08-07,2017-08-13,metro,-2,"San Francisco, CA metro area",41884,1 weeks,215.0,1430
591,2017-08-14,2017-08-20,metro,-2,"San Francisco, CA metro area",41884,1 weeks,223.0,1446
11937,2017-01-02,2017-01-08,metro,-2,"San Francisco, CA metro area",41884,1 weeks,146.0,871
16397,2017-09-25,2017-10-01,metro,-2,"San Francisco, CA metro area",41884,1 weeks,230.0,1887
20285,2017-12-25,2017-12-31,metro,-2,"San Francisco, CA metro area",41884,1 weeks,197.0,690
20342,2018-01-01,2018-01-07,metro,-2,"San Francisco, CA metro area",41884,1 weeks,98.0,697
24069,2017-01-30,2017-02-05,metro,-2,"San Francisco, CA metro area",41884,1 weeks,124.0,1248
24107,2017-02-06,2017-02-12,metro,-2,"San Francisco, CA metro area",41884,1 weeks,119.0,1300
25057,2017-04-24,2017-04-30,metro,-2,"San Francisco, CA metro area",41884,1 weeks,262.0,1684
30123,2017-07-31,2017-08-06,metro,-2,"San Francisco, CA metro area",41884,1 weeks,218.0,1504
30727,2017-06-05,2017-06-11,metro,-2,"San Francisco, CA metro area",41884,1 weeks,266.0,1752
31010,2017-06-12,2017-06-18,metro,-2,"San Francisco, CA metro area",41884,1 weeks,269.0,1802
31487,2017-02-27,2017-03-05,metro,-2,"San Francisco, CA metro area",41884,1 weeks,185.0,1382
32026,2017-03-06,2017-03-12,metro,-2,"San Francisco, CA metro area",41884,1 weeks,197.0,1450
39091,2017-02-13,2017-02-19,metro,-2,"San Francisco, CA metro area",41884,1 weeks,147.0,1302
39712,2017-01-23,2017-01-29,metro,-2,"San Francisco, CA metro area",41884,1 weeks,98.0,1185
41326,2017-03-27,2017-04-02,metro,-2,"San Francisco, CA metro area",41884,1 weeks,266.0,1593
42739,2017-04-03,2017-04-09,metro,-2,"San Francisco, CA metro area",41884,1 weeks,200.0,1593
45646,2017-01-09,2017-01-15,metro,-2,"San Francisco, CA metro area",41884,1 weeks,134.0,969
45786,2017-09-18,2017-09-24,metro,-2,"San Francisco, CA metro area",41884,1 weeks,225.0,1901
46242,2017-01-16,2017-01-22,metro,-2,"San Francisco, CA metro area",41884,1 weeks,114.0,1068
47494,2017-02-20,2017-02-26,metro,-2,"San Francisco, CA metro area",41884,1 weeks,150.0,1310
47824,2017-03-13,2017-03-19,metro,-2,"San Francisco, CA metro area",41884,1 weeks,194.0,1521
48507,2017-03-20,2017-03-26,metro,-2,"San Francisco, CA metro area",41884,1 weeks,186.0,1529
53928,2017-04-17,2017-04-23,metro,-2,"San Francisco, CA metro area",41884,1 weeks,216.0,1617
55475,2017-04-10,2017-04-16,metro,-2,"San Francisco, CA metro area",41884,1 weeks,222.0,1530
56936,2017-06-19,2017-06-25,metro,-2,"San Francisco, CA metro area",41884,1 weeks,247.0,1770
58230,2017-05-29,2017-06-04,metro,-2,"San Francisco, CA metro area",41884,1 weeks,246.0,1719
